Rubric,College,CollegeCode
ACCT,"Business, Analytics & Communication",CBAC
AMCS,Arts & Humanities,COAH
ANIM,Arts & Humanities,COAH
ANTH,"Science, Health, & the Environment",CSHE
ART,Arts & Humanities,COAH
AST,"Science, Health, & the Environment",CSHE
AT,"Science, Health, & the Environment",CSHE
ATHL,"Science, Health, & the Environment",CSHE
BCBT,"Science, Health, & the Environment",CSHE
BIOL,"Science, Health, & the Environment",CSHE
BUS,"Business, Analytics & Communication",CBAC
CHEM,"Science, Health, & the Environment",CSHE
CHIN,Arts & Humanities,COAH
CJ,Education & Human Services,CEHS
CM,"Business, Analytics & Communication",CBAC
CNSA,Education & Human Services,CEHS
COMM,"Business, Analytics & Communication",CBAC
COUN,Education & Human Services,CEHS
CSIS,"Business, Analytics & Communication",CBAC
ECON,"Business, Analytics & Communication",CBAC
ED,Education & Human Services,CEHS
EECE,Education & Human Services,CEHS
EIT,Arts & Humanities,COAH
ENG,"Science, Health, & the Environment",CSHE
ENGL,Arts & Humanities,COAH
ENTR,"Business, Analytics & Communication",CBAC
EXCH,NULL,NONE
EXS,"Science, Health, & the Environment",CSHE
FILM,Arts & Humanities,COAH
FINC,"Business, Analytics & Communication",CBAC
FYE,NULL,NONE
GCOM,Arts & Humanities,COAH
GDES,Arts & Humanities,COAH
GEOS,"Science, Health, & the Environment",CSHE
GID,Arts & Humanities,COAH
HIST,Arts & Humanities,COAH
HLTH,"Science, Health, & the Environment",CSHE
HON,NULL,NONE
HSAD,"Science, Health, & the Environment",CSHE
HUM,Arts & Humanities,COAH
INTL,"Business, Analytics & Communication",CBAC
JAPN,Arts & Humanities,COAH
LANG,Arts & Humanities,COAH
LEAD,"Business, Analytics & Communication",CBAC
LIB,NULL,NONE
MATH,"Business, Analytics & Communication",CBAC
MBA,"Business, Analytics & Communication",CBAC
MGMT,"Business, Analytics & Communication",CBAC
MHA,"Science, Health, & the Environment",CSHE
MKTG,"Business, Analytics & Communication",CBAC
MUS,Arts & Humanities,COAH
NURS,"Science, Health, & the Environment",CSHE
OM,"Business, Analytics & Communication",CBAC
PARA,"Business, Analytics & Communication",CBAC
PE,"Science, Health, & the Environment",CSHE
PHIL,Arts & Humanities,COAH
PHO,Arts & Humanities,COAH
PHYS,"Science, Health, & the Environment",CSHE
PMGT,"Business, Analytics & Communication",CBAC
POL,"Business, Analytics & Communication",CBAC
PSCI,"Science, Health, & the Environment",CSHE
PSY,"Science, Health, & the Environment",CSHE
SLHS,Education & Human Services,CEHS
SLP,Education & Human Services,CEHS
SOC,Education & Human Services,CEHS
SPAN,Arts & Humanities,COAH
SPED,Education & Human Services,CEHS
STL,Education & Human Services,CEHS
SUST,"Science, Health, & the Environment",CSHE
SW,Education & Human Services,CEHS
TEFL,Arts & Humanities,COAH
TESL,Arts & Humanities,COAH
THTR,Arts & Humanities,COAH
UNIV,NULL,NONE
WS,Arts & Humanities,COAH